years_maddison,gdppc_maddison2016,years_broadberry,gdppc_broadberry,years_TED,gdppc_TED,years_q1,gdppc_q1,years_q2,gdppc_q2
,,,,,,456.00,1086.589445,1764,2352.826968
,,,,,,457.00,1087.219312,1765,2337.426443
,,,,,,458.00,1087.849179,1766,2307.568276
,,,,,,459.00,1088.479046,1767,2323.492639
,,,,,,460.00,1089.108913,1768,2339.417002
,,,,,,461.00,1089.73878,1769,2350.522151
,,,,,,462.00,1090.368647,1770,2311.025558
,,,,,,463.00,1090.998513,1771,2305.263459
,,,,,,464.00,1091.62838,1772,2282.634114
,,,,,,465.00,1092.258247,1773,2288.920049
,,,,,,466.00,1092.888114,1774,2278.338737
,,,,,,467.00,1093.517981,1775,2270.167032
,,,,,,468.00,1094.147848,1776,2307.777856
,,,,,,469.00,1094.777715,1777,2285.14851
,,,,,,470.00,1095.407582,1778,2267.338378
